,지역명,규모구분,연도,월,분양가격
228,충남,전용면적 85㎡초과 102㎡이하,2015,12,2523.0
229,충남,전용면적 102㎡초과,2015,12,2444.0
230,전북,전체,2015,12,1983.0
231,전북,전용면적 60㎡이하,2015,12,1925.0
232,전북,전용면적 60㎡초과 85㎡이하,2015,12,1987.0
233,전북,전용면적 85㎡초과 102㎡이하,2015,12,2377.0
234,전북,전용면적 102㎡초과,2015,12,2282.0
235,전남,전체,2015,12,1909.0
236,전남,전용면적 60㎡이하,2015,12,1999.0
237,전남,전용면적 60㎡초과 85㎡이하,2015,12,1906.0
238,전남,전용면적 85㎡초과 102㎡이하,2015,12,2262.0
239,전남,전용면적 102㎡초과,2015,12,2176.0
240,경북,전체,2015,12,2181.0
241,경북,전용면적 60㎡이하,2015,12,2178.0
242,경북,전용면적 60㎡초과 85㎡이하,2015,12,2184.0
243,경북,전용면적 85㎡초과 102㎡이하,2015,12,2516.0
244,경북,전용면적 102㎡초과,2015,12,2370.0
245,경남,전체,2015,12,2307.0
246,경남,전용면적 60㎡이하,2015,12,2280.0
247,경남,전용면적 60㎡초과 85㎡이하,2015,12,2329.0
248,경남,전용면적 85㎡초과 102㎡이하,2015,12,2934.0
249,경남,전용면적 102㎡초과,2015,12,3019.0
250,제주,전체,2015,12,2268.0
251,제주,전용면적 60㎡이하,2015,12,2965.1990950226245
252,제주,전용면적 60㎡초과 85㎡이하,2015,12,2260.0
253,제주,전용면적 85㎡초과 102㎡이하,2015,12,2583.0
254,제주,전용면적 102㎡초과,2015,12,2574.0
255,서울,전체,2016,1,6108.0
256,서울,전용면적 60㎡이하,2016,1,6427.0
257,서울,전용면적 60㎡초과 85㎡이하,2016,1,6036.0
258,서울,전용면적 85㎡초과 102㎡이하,2016,1,6513.0
259,서울,전용면적 102㎡초과,2016,1,6551.0
260,인천,전체,2016,1,3191.0
261,인천,전용면적 60㎡이하,2016,1,3328.0
262,인천,전용면적 60㎡초과 85㎡이하,2016,1,3110.0
263,인천,전용면적 85㎡초과 102㎡이하,2016,1,3545.0
264,인천,전용면적 102㎡초과,2016,1,3408.0
265,경기,전체,2016,1,3198.0
266,경기,전용면적 60㎡이하,2016,1,3293.0
267,경기,전용면적 60㎡초과 85㎡이하,2016,1,3313.0
268,경기,전용면적 85㎡초과 102㎡이하,2016,1,3450.0
269,경기,전용면적 102㎡초과,2016,1,3850.0
270,부산,전체,2016,1,3152.0
271,부산,전용면적 60㎡이하,2016,1,2951.0
272,부산,전용면적 60㎡초과 85㎡이하,2016,1,3057.0
273,부산,전용면적 85㎡초과 102㎡이하,2016,1,2957.0
274,부산,전용면적 102㎡초과,2016,1,3812.0
275,대구,전체,2016,1,3086.0
276,대구,전용면적 60㎡이하,2016,1,3341.0
277,대구,전용면적 60㎡초과 85㎡이하,2016,1,3103.0
278,대구,전용면적 85㎡초과 102㎡이하,2016,1,2532.0
279,대구,전용면적 102㎡초과,2016,1,2743.0
280,광주,전체,2016,1,2569.0
281,광주,전용면적 60㎡이하,2016,1,2395.0
282,광주,전용면적 60㎡초과 85㎡이하,2016,1,2582.0
283,광주,전용면적 85㎡초과 102㎡이하,2016,1,2965.1990950226245
